year,lizard,frequency,radio,svl.cm,tail.cm,mass.g,gender,gravid,notes
2018,1,151.43,229071,14,22.1,43.5,male ,NA,Removed from study 5-27-18
2018,2,151.809,229076,9.9,20.2,38,female ,no,Removed from study 5-27-18
2018,4,151.089,229064,10.9,19.9,34,female ,yes,
2018,9,150.57,229052,10.5,18.7,35.5,female ,yes,
2018,11,151.47,229072,9.8,20,45,male,NA,Removed from study 5-27-18
2018,12,151.11,229065,8.6,17.8,24.5,male,NA,
2018,13,151.61,229074,11.1,20.7,44.5,male,NA,
2018,19,151.049,229063,10.8,20.8,46.5,male,NA,
2018,20,151,229061,10.7,19,41.5,female ,yes,
2018,22,151.83,229077,10.4,18.5,40,female ,yes,
2018,30,150.77,229057,11.2,20.2,46,male,NA,
2018,31,150.669,229055,10.9,8.2,43.5,male,NA,
2018,35,151.23,229068,10.3,19.7,38,male,NA,
2018,39,151.849,229078,10.7,19.8,40.5,female ,yes,
2018,40,151.209,229067,10.2,19.1,35.5,female ,no,
2018,44,150.75,229056,10.4,17.2,36,male,NA,
2018,47,151.649,229075,10.9,21.6,41.5,male,NA,
2018,56,150.81,229059,10.9,20.2,41.5,male,NA,
2018,64,150.79,229058,10.4,19.1,40.5,male ,NA,
2018,73,151.59,229073,10.5,21.5,44,male,NA,
2018,76,151.029,229062,10.6,20.7,42.5,male,NA,
2018,80,150.63,229054,10.6,18.9,35,female ,no,
2018,91,151.37,229070,9.7,20,28,male,NA,Removed from study 5-27-18
2018,93,151.29,229069,11.1,16.4,48,male,NA,
2018,99,150.609,229053,9.2,17.8,25,female ,no,
2018,100,150.549,229051,10.3,16.5,34,female ,yes ,
2018,130,151.969,229080,10.2,20.2,38.5,male,NA,
2018,200,150.83,229060,11,21.1,41,male,NA,
2018,1337,151.91,229079,10.9,20.1,50,male,NA,
2018,12B,151.15,229066,10.2,18,37,female ,yes,
2018,23,151.43,229071,10,19.6,32.5,female ,no,Added to study 5-27-18
2018,26,151.809,229076,11,21,45.5,male,NA,Added to study 5-27-18
2018,16,151.47,229072,11.1,20.4,33,female ,no ,Added to study 5-27-18
2018,25,151.37,229070,10.5,19.9,46.5,male,NA,Added to study 5-27-18
