plot,code,ID,y,x,lat,long
C1,c,F6,3890548.117,796619.4163,35.11412635,-119.745506
C10,c,F6,3891480.453,798278.4483,35.12202984,-119.7269935
C2,c,F6,3890702.429,798045.8376,35.11509452,-119.7298224
C3,c,F6,3891379.744,797253.5892,35.12142624,-119.7382592
C4,c,F6,3892064.717,796728.6573,35.12774762,-119.7437653
C5,c,F6,3890720.489,800425.9899,35.11455005,-119.703739
C6,c,F6,3892576.496,796692.2972,35.1323657,-119.7439801
C7,c,F6,3890137.723,797879.7803,35.11005984,-119.731845
C8,c,F6,3892272.349,798608.9637,35.12906091,-119.7230862
C9,c,F6,3890775.05,799342.214,35.11536388,-119.715593
E1,e,F6,3890585.143,796426.6514,35.11451644,-119.7476047
E10,e,F6,3891460.413,798479.2443,35.12178994,-119.7248006
E2,e,F6,3890504.727,798008.4652,35.11332576,-119.7303031
E3,e,F6,3891182.576,797216.5456,35.11966214,-119.7387359
E4,e,F6,3891863.671,796697.5532,35.12594684,-119.7441782
E5,e,F6,3890686.954,800628.8289,35.11418765,-119.7015289
E6,e,F6,3892611.328,796494.5834,35.13273754,-119.7461343
E7,e,F6,3889937.909,797849.2796,35.10827002,-119.732251
E8,e,F6,3892471.582,798642.5062,35.13084455,-119.7226467
E9,e,F6,3890598.69,799169.8498,35.11382741,-119.7175452
S1,s,F6,3887201.386,802644.8681,35.08220649,-119.6807154
S10,s,F6,3885225.613,801614.4839,35.06472873,-119.692718
S2,s,F6,3886935.637,803210.3229,35.07964435,-119.6746202
S3,s,F6,3887433.431,803180.313,35.08413456,-119.6747668
S4,s,F6,3887264.323,803691.4538,35.08245845,-119.6692311
S5,s,F6,3886557.48,803634.175,35.07611266,-119.6701172
S6,s,F6,3887166.514,804574.3943,35.08131172,-119.6595978
S7,s,F6,3887421.919,804972.772,35.08349048,-119.6551413
S8,s,F6,3884605.051,802799.9975,35.05878732,-119.6799643
S9,s,F6,3884871.111,802233.8297,35.06135213,-119.6860659
